=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 80s
  [183/1224] 122s
  [244/1224] 175s
  [305/1224] 223s
  [366/1224] 287s
  [427/1224] 327s
  [488/1224] 361s
  [549/1224] 404s
  [610/1224] 448s
  [671/1224] 506s
  [732/1224] 555s
  [793/1224] 601s
  [854/1224] 648s
  [915/1224] 691s
  [976/1224] 735s
  [1037/1224] 795s
  [1098/1224] 852s
  [1159/1224] 896s
  [1220/1224] 933s

Done in 941s

=== Per-pair results ===
            Fly Away Now vs RuPauls Dragon Race   :   1W   5L   2D ( 16.7% for Fly Away Now, 6/8 decided)
            Fly Away Now vs Soft and Wet          :   5W   1L   2D ( 83.3% for Fly Away Now, 6/8 decided)
            Fly Away Now vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Fly Away Now, 8/8 decided)
            Fly Away Now vs Brain Blast           :   3W   2L   3D ( 60.0% for Fly Away Now, 5/8 decided)
            Fly Away Now vs Disco Inferno         :   3W   5L   0D ( 37.5% for Fly Away Now, 8/8 decided)
              Toxic Team vs Rock Hard             :   6W   2L   0D ( 75.0% for Toxic Team, 8/8 decided)
              Toxic Team vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Toxic Team, 8/8 decided)
              Toxic Team vs Soft and Wet          :   2W   0L   6D (100.0% for Toxic Team, 2/8 decided)
              Toxic Team vs Your Ass is Grass     :   8W   0L   0D (100.0% for Toxic Team, 8/8 decided)
              Toxic Team vs Brain Blast           :   7W   1L   0D ( 87.5% for Toxic Team, 8/8 decided)
              Toxic Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Toxic Team, 8/8 decided)
               Rock Hard vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Rock Hard, 8/8 decided)
               Rock Hard vs Soft and Wet          :   3W   3L   2D ( 50.0% for Rock Hard, 6/8 decided)
               Rock Hard vs Your Ass is Grass     :   3W   5L   0D ( 37.5% for Rock Hard, 8/8 decided)
               Rock Hard vs Brain Blast           :   5W   2L   1D ( 71.4% for Rock Hard, 7/8 decided)
               Rock Hard vs Disco Inferno         :   8W   0L   0D (100.0% for Rock Hard, 8/8 decided)
     RuPauls Dragon Race vs Soft and Wet          :   7W   0L   1D (100.0% for RuPauls Dragon Race, 7/8 decided)
     RuPauls Dragon Race vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for RuPauls Dragon Race, 8/8 decided)
     RuPauls Dragon Race vs Brain Blast           :   2W   4L   2D ( 33.3% for RuPauls Dragon Race, 6/8 decided)
     RuPauls Dragon Race vs Disco Inferno         :   4W   3L   1D ( 57.1% for RuPauls Dragon Race, 7/8 decided)
            Soft and Wet vs Your Ass is Grass     :   0W   7L   1D (  0.0% for Soft and Wet, 7/8 decided)
            Soft and Wet vs Brain Blast           :   0W   0L   8D (  0.0% for Soft and Wet, 0/8 decided)
            Soft and Wet vs Disco Inferno         :   1W   4L   3D ( 20.0% for Soft and Wet, 5/8 decided)
       Your Ass is Grass vs Brain Blast           :   8W   0L   0D (100.0% for Your Ass is Grass, 8/8 decided)
       Your Ass is Grass vs Disco Inferno         :   0W   7L   1D (  0.0% for Your Ass is Grass, 7/8 decided)
             Brain Blast vs Disco Inferno         :   0W   8L   0D (  0.0% for Brain Blast, 8/8 decided)

=== Per-team standings (Wilson 95% CI on decided games) ===
                    team    win%           95% CI     W/   L/   D  decided%
           Disco Inferno   74.4%     [66.3, 81.2]    96/  33/   7   94.9%
             Heavy Metal   69.5%     [60.2, 77.5]    73/  32/  31   77.2%
            Supa Fitingu   69.0%     [60.1, 76.7]    80/  36/  20   85.3%
     RuPauls Dragon Race   65.5%     [56.6, 73.5]    78/  41/  17   87.5%
              Toxic Team   56.5%     [47.4, 65.2]    65/  50/  21   84.6%
             Spooky Team   55.4%     [45.7, 64.8]    56/  45/  35   74.3%
               Rock Hard   55.3%     [46.5, 63.8]    68/  55/  13   90.4%
    I Believe In Fairies   53.4%     [44.9, 61.6]    71/  62/   3   97.8%
               Dork Team   52.1%     [43.2, 60.8]    63/  58/  15   89.0%
         Stop Bugging Me   50.8%     [42.1, 59.4]    63/  61/  12   91.2%
  Grounded Grounded Gro…   48.6%     [39.6, 57.8]    54/  57/  25   81.6%
             Brain Blast   44.8%     [36.1, 53.9]    52/  64/  20   85.3%
            Fly Away Now   44.1%     [35.3, 53.4]    49/  62/  25   81.6%
       Your Ass is Grass   42.4%     [34.3, 51.0]    56/  76/   4   97.1%
            Soft and Wet   42.0%     [31.1, 53.8]    29/  40/  67   50.7%
       Electric Boogaloo   33.3%     [25.7, 41.9]    42/  84/  10   92.6%
     Totally Normal Team   21.3%     [14.2, 30.6]    20/  74/  42   69.1%
            Ice Ice Baby   15.4%     [10.1, 22.9]    19/ 104/  13   90.4%

Note: Tera-suppressed (monotype rule). Move choices ending in '-tera' were filtered before each turn.
